,pattern,alpha,train_rmse,test_rmse
301,PATT0000101,0.01,0.6861536886314523,0.6845304471266231
302,PATT0000101,0.1,0.774967540649459,0.7693626628094561
303,PATT0000102,0.001,0.7163644228387273,0.7172439878077406
304,PATT0000102,0.01,0.7229249291151945,0.7207704534868516
305,PATT0000102,0.1,0.7871020247922373,0.7819746580702837
306,PATT0000103,0.001,0.7023431490398307,0.7000675218838958
307,PATT0000103,0.01,0.7066026573412788,0.7017306398660124
308,PATT0000103,0.1,0.762764826096829,0.7565456956111235
309,PATT0000104,0.001,0.7420836468252374,0.7436961864408025
310,PATT0000104,0.01,0.7462781942460299,0.7451470281448962
311,PATT0000104,0.1,0.7815122750317643,0.7763549844445218
312,PATT0000105,0.001,0.7310133075669045,0.7317930143554398
313,PATT0000105,0.01,0.735039817683386,0.7326992802703903
314,PATT0000105,0.1,0.7702958423976133,0.7644108727268186
315,PATT0000106,0.001,0.6748651087396393,0.6741693276449383
316,PATT0000106,0.01,0.6789404941619197,0.6753328719510306
317,PATT0000106,0.1,0.7160792756201907,0.7113696474332187
318,PATT0000107,0.001,0.7386100712879229,0.7406423388815784
319,PATT0000107,0.01,0.7429979851538415,0.7419481321661452
320,PATT0000107,0.1,0.7854879621080479,0.7800334498849162
321,PATT0000108,0.001,0.7386350428105007,0.7392994587210031
322,PATT0000108,0.01,0.7427627401731055,0.7404754594907156
323,PATT0000108,0.1,0.7854879621080479,0.7800334498849162
324,PATT0000109,0.001,0.7215830671848019,0.722551992478939
325,PATT0000109,0.01,0.7253548541204476,0.7232093082808279
326,PATT0000109,0.1,0.7506124886246497,0.7459976172918531
327,PATT0000110,0.001,0.7404593612892946,0.741772917229612
328,PATT0000110,0.01,0.74456254189793,0.7428991922619766
329,PATT0000110,0.1,0.7833618783284375,0.7778876108601122
330,PATT0000111,0.001,0.7279719112361269,0.7300482669632122
331,PATT0000111,0.01,0.7321434002486633,0.730924109598576
332,PATT0000111,0.1,0.7732173071589432,0.7677418433000155
333,PATT0000112,0.001,0.7217095326513546,0.7237231288192485
334,PATT0000112,0.01,0.7262629095546062,0.7251240540048741
335,PATT0000112,0.1,0.7779714764049132,0.7728167693491241
336,PATT0000113,0.001,0.728145202683313,0.7252010272714297
337,PATT0000113,0.01,0.7306247938711053,0.7258685368182713
338,PATT0000113,0.1,0.7643209048615619,0.7587261966965385
339,PATT0000114,0.001,0.7198772021279891,0.7139541381501578
340,PATT0000114,0.01,0.7221893139483669,0.7143276990079697
341,PATT0000114,0.1,0.7492336032036426,0.7424764246603636
342,PATT0000115,0.001,0.6928283303384649,0.6931630317903251
343,PATT0000115,0.01,0.695293182027282,0.693812475921173
344,PATT0000115,0.1,0.7180086346200742,0.7142180716777466
